"","age","urban","college","cotPension","cuentaPropia","depto","directorio","dsi","estrato","formal","inac","ingtot","hoursWorkUsual","maxEducLevel","oficio","orden","salud","seguridadsocial","sex","microEmpresa","sizeFirm","y_salary_m","y_salary_m_hu","sub.alimentacion","sub.transporte","sub.familiar","sub.educativo","log_y_salary_h","log_y_salary_m"
"1",36,1,1,1,0,11,4514331,0,2,1,0,1840833.33333333,45,6,39,1,1,2,1,0,5,1300000,6740.74072265625,1,2,1,2,8.81592509737174,14.0778748224318
"2",51,1,0,1,0,11,4514333,0,2,1,0,1878973.33333333,48,7,85,1,1,1,1,0,3,1200000,5833.33349609375,2,1,2,2,8.67134389914528,13.9978321147582
"3",45,1,0,1,0,11,4514334,0,2,1,0,883357,56,4,45,1,1,1,1,1,2,737717,3073.82080078125,2,1,2,2,8.03067662727285,13.5113155612049
"4",61,1,0,2,0,11,4514335,0,2,0,0,1200000,40,3,53,1,1,3,1,0,4,7e+05,4083.33325195312,2,2,2,2,8.31466890737492,13.4588356140255
"5",35,1,0,1,0,11,4514338,0,2,1,0,1941500,48,7,13,2,1,2,0,0,5,1700000,8263.888671875,2,2,1,2,9.01965053925121,14.3461388090264
"6",35,1,1,1,0,11,4514339,0,2,1,0,1083000,40,6,42,1,1,1,0,0,5,950000,5541.66650390625,2,1,1,2,8.62005054748564,13.7642172635767
"7",39,1,0,1,0,11,4514339,0,2,1,0,1716333.33333333,44,7,33,2,1,1,1,0,5,1450000,7689.39404296875,2,1,1,2,8.94759726134148,14.1870741143968
"8",29,1,0,2,1,11,4514342,0,2,0,0,1e+06,40,7,37,2,2,1,1,1,1,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"9",29,1,1,1,0,11,4514343,0,2,1,0,779000,54,6,45,1,1,1,1,1,2,750000,3240.74072265625,2,2,1,2,8.08355720076102,13.5278284855125
"10",44,1,0,2,1,11,4514344,0,2,0,0,3e+05,42,5,57,2,2,1,0,1,1,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"11",31,1,1,1,0,11,4514345,0,2,1,0,2121000,55,6,45,5,1,1,1,0,5,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"12",55,1,1,2,0,11,4514346,0,2,0,0,9e+05,48,6,84,1,1,3,1,1,2,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"13",56,1,0,1,0,11,4514348,0,2,1,0,820857,48,4,55,1,1,1,0,0,5,737717,3586.12426757812,2,1,2,2,8.18482730710011,13.5113155612049
"14",23,1,0,1,0,11,4514349,0,2,1,0,1226333.41666667,40,7,39,3,1,1,1,0,5,737717,4303.34912109375,2,1,2,2,8.36714886389406,13.5113155612049
"15",30,1,1,1,0,11,4514349,0,2,1,0,1237806.66666667,54,6,53,2,1,1,1,0,3,8e+05,3456.7900390625,2,1,2,2,8.14809570306489,13.5923670066501
"16",50,1,0,2,1,11,4514350,0,2,0,0,6e+05,48,7,45,1,1,1,0,1,1,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"17",28,1,0,1,0,11,4514350,0,2,1,0,949806.666666667,48,7,39,2,1,1,1,0,5,8e+05,3888.88891601562,1,1,2,2,8.26587877011078,13.5923670066501
"18",54,1,0,2,1,11,4514351,0,2,0,0,1500000,66,5,79,1,1,3,0,1,2,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"19",36,1,1,2,0,11,4514352,0,2,0,0,310000,16,6,37,2,1,3,1,1,2,3e+05,4375,2,2,2,2,8.38366179879172,12.6115377536383
"20",53,1,0,2,1,11,4514353,0,2,0,0,60000,40,5,56,1,1,1,0,1,1,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"21",33,1,0,1,0,11,4514354,0,2,1,0,1591500,48,7,39,2,1,1,0,0,3,1500000,7291.66650390625,2,2,1,2,8.89448740023628,14.2209756660724
"22",38,1,1,1,0,11,4514354,0,2,1,0,795883.666666667,48,6,37,1,1,1,1,0,5,737717,3586.12426757812,2,1,1,2,8.18482730710011,13.5113155612049
"23",51,1,1,2,1,11,4514357,0,2,0,0,70000,48,6,93,2,1,1,1,1,1,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"24",51,1,1,1,0,11,4514357,0,2,1,0,1083333.33333333,45,6,55,1,1,1,0,0,4,1e+06,5185.18505859375,2,1,2,2,8.55356081117305,13.8155105579643
"25",43,1,0,1,0,11,4514359,0,2,1,0,3633333.33333333,48,7,21,1,1,1,1,0,5,3500000,17013.888671875,2,2,2,2,9.74178527018981,15.0682735264596
"26",47,1,1,1,1,11,4514360,0,2,1,0,1300000,70,6,98,2,1,1,1,1,1,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
"27",41,1,1,1,0,11,4514360,0,2,1,0,1659806.66666667,40,6,32,1,1,2,0,0,5,1400000,8166.66650390625,2,1,1,2,9.00781608793486,14.1519827945855
"28",31,1,1,1,0,11,4514361,0,2,1,0,826883.666666667,48,6,97,2,1,1,0,0,4,737717,3586.12426757812,2,1,1,2,8.18482730710011,13.5113155612049
"29",36,1,0,1,0,11,4514361,0,2,1,0,825800.333333333,48,5,98,3,1,1,1,0,4,737717,3586.12426757812,2,1,1,2,8.18482730710011,13.5113155612049
"30",50,1,1,1,0,11,4514363,0,2,1,0,910333.416666667,48,6,55,1,1,1,0,0,5,737717,3586.12426757812,2,1,1,2,8.18482730710011,13.5113155612049
"31",42,1,1,1,0,11,4514364,0,2,1,0,1087000,48,6,54,2,1,1,0,1,1,9e+05,4375,2,1,2,2,8.38366179879172,13.7101500423064
"32",45,1,0,1,0,11,4514364,0,2,1,0,1500000,45,4,98,1,1,1,1,0,3,1500000,7777.77783203125,2,2,2,2,8.95902595067072,14.2209756660724
"33",20,1,0,1,0,11,4514364,0,2,1,0,786000,60,7,95,3,1,1,1,0,5,786000,3056.66674804688,2,2,2,2,8.02508030320624,13.5747120714113
"34",49,1,1,1,0,11,4514365,0,2,1,0,1283140,48,6,58,1,1,1,1,0,4,1200000,5833.33349609375,2,1,2,2,8.67134389914528,13.9978321147582
"35",47,1,1,2,1,11,4514366,0,2,0,0,3e+05,9,6,55,1,2,1,0,1,1,1566233.77618804,7984.2620714019,2,1,2,2,8.98522764202697,14.2641844267592
